TIME;2014;;2015;;2016;;2017;;2018;;2019;;2020
Belgium;11.180.840;;11.237.274;;11.311.117;;11.351.727;;11.398.589;;11.455.519;;11.522.440
Bulgaria;7.245.677;;7.202.198;;7.153.784;;7.101.859;;7.050.034;;7.000.039;;6.951.482
Czechia;10.512.419;;10.538.275;;10.553.843;;10.578.820;;10.610.055;;10.649.800;;10.693.939
Denmark;5.627.235;;5.659.715;;5.707.251;;5.748.769;;5.781.190;;5.806.081;;5.822.763
Germany;80.767.463;;81.197.537;;82.175.684;;82.521.653;;82.792.351;;83.019.213;;83.166.711
Estonia;1.315.819;;1.314.870;;1.315.944;;1.315.635;;1.319.133;;1.324.820;;1.328.976
Ireland;4.637.852;;4.677.627;;4.726.286;;4.784.383;;4.830.392;;4.904.240;;4.964.440
Greece;10.926.807;;10.858.018;;10.783.748;;10.768.193;;10.741.165;;10.724.599;;10.718.565
Spain;46.512.199;;46.449.565;;46.440.099;;46.528.024;;46.658.447;;46.937.060;;47.332.614
France;66.165.980;;66.458.153;;66.638.391;;66.809.816;;67.026.224;;67.290.471;;67.485.531
France (metropolitan);:;;:;;:;;:;;:;;:;;:
Croatia;4.246.809;;4.225.316;;4.190.669;;4.154.213;;4.105.493;;4.076.246;;4.058.165
Italy;60.782.668;;60.795.612;;60.665.551;;60.589.445;;60.483.973;;59.816.673;;59.641.488
Cyprus;858.000;;847.008;;848.319;;854.802;;864.236;;875.899;;888.005
Latvia;2.001.468;;1.986.096;;1.968.957;;1.950.116;;1.934.379;;1.919.968;;1.907.675
Lithuania;2.943.472;;2.921.262;;2.888.558;;2.847.904;;2.808.901;;2.794.184;;2.794.090
Luxembourg;549.680;;562.958;;576.249;;590.667;;602.005;;613.894;;626.108
Hungary;9.877.365;;9.855.571;;9.830.485;;9.797.561;;9.778.371;;9.772.756;;9.769.526
Malta;429.424;;439.691;;450.415;;460.297;;475.701;;493.559;;514.564
Netherlands;16.829.289;;16.900.726;;16.979.120;;17.081.507;;17.181.084;;17.282.163;;17.407.585
Austria;8.507.786;;8.584.926;;8.700.471;;8.772.865;;8.822.267;;8.858.775;;8.901.064
Poland;38.017.856;;38.005.614;;37.967.209;;37.972.964;;37.976.687;;37.972.812;;37.958.138
Portugal;10.427.301;;10.374.822;;10.341.330;;10.309.573;;10.291.027;;10.276.617;;10.295.909
Romania;19.947.311;;19.870.647;;19.760.585;;19.643.949;;19.533.481;;19.414.458;;19.328.838
Slovenia;2.061.085;;2.062.874;;2.064.188;;2.065.895;;2.066.880;;2.080.908;;2.095.861
Slovakia;5.415.949;;5.421.349;;5.426.252;;5.435.343;;5.443.120;;5.450.421;;5.457.873
Finland;5.451.270;;5.471.753;;5.487.308;;5.503.297;;5.513.130;;5.517.919;;5.525.292
Sweden;9.644.864;;9.747.355;;9.851.017;;9.995.153;;10.120.242;;10.230.185;;10.327.589
Iceland;325.671;;329.100;;332.529;;338.349;;348.450;;356.991;;364.134
Liechtenstein;37.129;;37.366;;37.622;;37.810;;38.114;;38.378;;38.747
Norway;5.107.970;;5.166.493;;5.210.721;;5.258.317;;5.295.619;;5.328.212;;5.367.580
Switzerland;8.139.631;;8.237.666;;8.327.126;;8.419.550;;8.484.130;;8.544.527;;8.606.033
United Kingdom;64.351.203;;64.853.393;;65.379.044;;65.844.142;;66.273.576;;66.647.112;;67.025.542
Bosnia and Herzegovina;3.830.911;;3.825.334;;3.515.982;;3.509.728;;3.500.295;;3.492.018;;:
Montenegro;621.521;;622.099;;622.218;;622.387;;622.359;;622.182;;621.873
Moldova;2.869.226;;2.844.673;;2.824.387;;2.779.952;;2.730.364;;2.686.064;;2.640.438
North Macedonia;2.065.769;;2.069.172;;2.071.278;;2.073.702;;2.075.301;;2.077.132;;2.076.255
Albania;2.892.394;;2.885.796;;2.875.592;;2.876.591;;2.870.324;;2.862.427;;2.845.955
Serbia;7.146.759;;7.114.393;;7.076.372;;7.040.272;;7.001.444;;6.963.764;;6.926.705
Türkiye;76.667.864;;77.695.904;;78.741.053;;79.814.871;;80.810.525;;82.003.882;;83.154.997
Ukraine;45.245.894;;42.759.661;;42.590.879;;42.414.905;;42.216.766;;41.983.564;;41.732.779
Kosovo (under United Nations Security Council Resolution 1244/99);1.820.631;;1.804.944;;1.771.604;;1.783.531;;1.798.506;;1.795.666;;1.782.115
Georgia;4.490.498;;3.729.500;;3.720.400;;3.726.374;;3.729.633;;3.723.464;;3.716.858
Andorra;:;;:;;71.732;;:;;74.794;;76.177;;77.543
Belarus;9.468.154;;9.480.868;;9.498.364;;9.504.704;;9.491.823;;9.475.174;;9.408.350
Monaco;:;;37.700;;38.200;;:;;38.300;;38.300;;:
Russia;143.666.931;;:;;:;;:;;:;;:;;:
San Marino;32.520;;32.789;;33.005;;33.196;;34.453;;34.590;;34.735
Armenia;3.017.079;;3.010.598;;2.998.577;;2.986.151;;2.972.732;;2.965.269;;2.959.694
Azerbaijan;9.477.119;;9.593.038;;9.705.643;;9.809.981;;9.898.085;;9.981.457;;10.067.108
