Year,Country,Sending,Receiving,Ratio
2016,Spain,51572,68619,1.33
2016,Ireland,4847,15019,3.1
2016,Norway,4344,8905,2.05
2016,Sweden,7231,14248,1.97
2016,Denmark,6073,8353,1.38
2016,Iceland,1289,2532,1.96
2016,Slovakia,8822,6416,0.73
2016,Poland,31003,28500,0.92
2016,Finland,11668,14481,1.24
2016,Romania,18099,11821,0.65
2016,Austria,10993,13344,1.21
2016,Czech Republic,14788,16661,1.13
2016,Liechtenstein,178,120,0.67
2016,Netherlands,18882,18137,0.96
2016,Latvia,5725,5016,0.88
2016,Croatia,5714,5142,0.9
2016,Lithuania,11251,7501,0.67
2016,Kosovo * UN resolution,413,192,0.46
2016,The Republic of North Macedonia,2724,1497,0.55
2016,Luxembourg,1148,1687,1.47
2016,Malta,1196,8141,6.81
2016,Georgia,1889,1859,0.98
2016,France,52584,35794,0.68
2016,Bosnia and Herzegovina,989,583,0.59
2016,Estonia,4971,4908,0.99
2016,Moldova (Republic of),745,539,0.72
2016,Germany,58177,53037,0.91
2016,Turkey,28834,12254,0.42
2016,Italy,49239,44893,0.91
2016,Armenia,1311,1798,1.37
2016,Belarus,694,360,0.52
2016,Russian Federation,2159,1103,0.51
2016,Montenegro,264,192,0.73
2016,Serbia,2055,1154,0.56
2016,Slovenia,5308,5798,1.09
2016,Cyprus,1409,3416,2.42
2016,Albania,715,273,0.38
2016,Hungary,11652,11808,1.01
2016,Ukraine,2968,770,0.26
2016,Belgium,13717,15155,1.1
2016,Switzerland,0,0,0.0
2016,Bulgaria,8423,5730,0.68
2016,Portugal,15352,23659,1.54
2017,Spain,56955,73688,1.29
2017,Ireland,5111,16016,3.13
2017,Norway,4656,9203,1.98
2017,Sweden,7368,14128,1.92
2017,Denmark,6846,9298,1.36
2017,Iceland,1324,2710,2.05
2017,Slovakia,9215,6734,0.73
2017,Poland,31701,31443,0.99
2017,Finland,11903,15839,1.33
2017,Romania,18555,13257,0.71
2017,Austria,11270,14010,1.24
2017,Czech Republic,14852,17730,1.19
2017,Liechtenstein,146,219,1.5
2017,Netherlands,19415,19121,0.98
2017,Latvia,6191,5951,0.96
2017,Croatia,5652,5695,1.01
2017,Lithuania,11388,7439,0.65
2017,Kosovo * UN resolution,501,261,0.52
2017,The Republic of North Macedonia,2887,1427,0.49
2017,Luxembourg,1101,1738,1.58
2017,Malta,1402,9830,7.01
2017,Georgia,2464,2386,0.97
2017,France,57260,37013,0.65
2017,Bosnia and Herzegovina,1322,675,0.51
2017,Estonia,5362,5122,0.96
2017,Moldova (Republic of),756,508,0.67
2017,Germany,60431,52658,0.87
2017,Turkey,31484,8495,0.27
2017,Italy,53074,50508,0.95
2017,Armenia,1680,1997,1.19
2017,Belarus,763,229,0.3
2017,Russian Federation,2470,1294,0.52
2017,Montenegro,429,256,0.6
2017,Serbia,2857,1936,0.68
2017,Slovenia,5489,6457,1.18
2017,Cyprus,1887,3665,1.94
2017,Albania,898,349,0.39
2017,Hungary,12090,12330,1.02
2017,Ukraine,3691,1206,0.33
2017,Belgium,14162,15596,1.1
2017,Switzerland,0,0,0.0
2017,Bulgaria,9012,6561,0.73
2017,Portugal,16330,27372,1.68
2018,Spain,61395,81290,1.32
2018,Ireland,5749,18658,3.25
2018,Norway,4999,9756,1.95
2018,Sweden,7764,13506,1.74
2018,Denmark,6912,9380,1.36
2018,Iceland,1216,2508,2.06
2018,Slovakia,10004,7060,0.71
2018,Poland,32623,32216,0.99
2018,Finland,11463,15891,1.39
2018,Romania,20028,13720,0.69
2018,Austria,12028,14992,1.25
2018,Czech Republic,15464,18538,1.2
2018,Liechtenstein,184,168,0.91
2018,Netherlands,20103,20049,1.0
2018,Latvia,6692,5983,0.89
2018,Croatia,6385,6925,1.08
2018,Lithuania,11624,8709,0.75
2018,Kosovo * UN resolution,637,240,0.38
2018,The Republic of North Macedonia,3351,1850,0.55
2018,Luxembourg,1321,2627,1.99
2018,Malta,1685,11688,6.94
2018,Georgia,2575,2782,1.08
2018,France,63635,37971,0.6
2018,Bosnia and Herzegovina,1635,1004,0.61
2018,Estonia,5763,5554,0.96
2018,Moldova (Republic of),859,560,0.65
2018,Germany,64425,53735,0.83
2018,Turkey,34060,11448,0.34
2018,Italy,57045,55008,0.96
2018,Armenia,1790,1612,0.9
2018,Belarus,829,461,0.56
2018,Russian Federation,2863,1570,0.55
2018,Montenegro,402,257,0.64
2018,Serbia,3297,2009,0.61
2018,Slovenia,6323,7144,1.13
2018,Cyprus,1733,4301,2.48
2018,Albania,962,440,0.46
2018,Hungary,12921,13501,1.04
2018,Ukraine,3966,1327,0.33
2018,Belgium,15135,17084,1.13
2018,Switzerland,1,1,1.0
2018,Bulgaria,9834,6012,0.61
2018,Portugal,17860,30005,1.68
2019,Spain,65651,87729,1.34
2019,Ireland,6425,23947,3.73
2019,Norway,5532,10775,1.95
2019,Sweden,8313,15338,1.85
2019,Denmark,7315,10577,1.45
2019,Iceland,1355,2754,2.03
2019,Slovakia,10664,7804,0.73
2019,Poland,35962,35089,0.98
2019,Finland,11536,17432,1.51
2019,Romania,23230,15049,0.65
2019,Austria,13006,16713,1.29
2019,Czech Republic,16865,19650,1.17
2019,Liechtenstein,195,190,0.97
2019,Netherlands,22288,21370,0.96
2019,Latvia,7487,5729,0.77
2019,Croatia,7345,7317,1.0
2019,Lithuania,12623,8282,0.66
2019,Kosovo * UN resolution,627,249,0.4
2019,The Republic of North Macedonia,3710,1889,0.51
2019,Luxembourg,1181,2714,2.3
2019,Malta,1642,13370,8.14
2019,Georgia,2939,3054,1.04
2019,France,73930,40802,0.55
2019,Bosnia and Herzegovina,1579,969,0.61
2019,Estonia,6101,5721,0.94
2019,Moldova (Republic of),929,378,0.41
2019,Germany,70284,55515,0.79
2019,Turkey,35495,15343,0.43
2019,Italy,61258,61662,1.01
2019,Armenia,1887,1685,0.89
2019,Belarus,919,457,0.5
2019,Russian Federation,3003,1759,0.59
2019,Montenegro,385,220,0.57
2019,Serbia,3510,2040,0.58
2019,Slovenia,6549,7825,1.19
2019,Cyprus,2076,5254,2.53
2019,Albania,1335,666,0.5
2019,Hungary,14695,13646,0.93
2019,Ukraine,4569,1779,0.39
2019,Belgium,15956,19704,1.23
2019,Switzerland,0,10,0.0
2019,Bulgaria,10782,7464,0.69
2019,Portugal,19295,30508,1.58
2020,Spain,24179,34529,1.43
2020,Ireland,3024,7868,2.6
2020,Norway,2110,4004,1.9
2020,Sweden,4126,7378,1.79
2020,Denmark,3598,5464,1.52
2020,Iceland,443,1200,2.71
2020,Slovakia,3345,2166,0.65
2020,Poland,12302,13969,1.14
2020,Finland,3899,7174,1.84
2020,Romania,7125,3713,0.52
2020,Austria,5793,8285,1.43
2020,Czech Republic,6233,8558,1.37
2020,Liechtenstein,82,76,0.93
2020,Netherlands,8471,9300,1.1
2020,Latvia,2576,2051,0.8
2020,Croatia,2825,2811,1.0
2020,Lithuania,4369,3269,0.75
2020,Kosovo * UN resolution,240,65,0.27
2020,The Republic of North Macedonia,884,346,0.39
2020,Luxembourg,407,1555,3.82
2020,Malta,393,4374,11.13
2020,Georgia,662,390,0.59
